Company (Ticker Symbol);2007PE;2003PE
Ace Ltd (ACE);8;26
Allied Waste Ind (AW);21;18
Baker Hughes Inc (BHI);13;55
Baxter International (BAX);20;23
Bed Bath & Beyond (BBBY);20;37
Burlington/Santa (BNI);14;14
ConocoPhillips (COP);8;26
Constellation Energy (CEG);16;15
Electronic Data (EDS);17;23
Family Dollar Stores (FDO);19;27
FirstEnergy Corp (FE);14;14
Fluor Corp (FLR);22;19
Freeport-Mcmor-B (FCX);11;18
Ingersoll-Rand-A (IR);12;16
Leggett & Platt (LEG);13;21
Lexmark Intl A (LXK);17;21
Mellon Financial (MEL);17;19
Moody?s Corp (MCO);29;24
Rohm & Haas Co (ROH);15;68
Sara Lee Corp (SLE);25;13
Wendy?s Intl Inc (WEN);24;15
Whirlpool Corp (WHR);18;18
Yum! Brands Inc (YUM);18;16
